iLI1	iLI2	iLI3	iLI4	iLI5	iLI6	iLI7	iLI8	iLI9	iLI10	iLI11	iLI12	iPH	stage
1.32	0.639	2.043	2.207	9.499	11.78	10.273	29.054	0	0	0	0	57.229	S6_S5
2.941	0.41	1.805	1.245	0.582	6.035	8.465	8.192	7.237	35.52	0	0	57.26	S6_S5
3.166	1.346	4.168	0.41	0.816	9.854	11.781	11.647	5.892	33.979	0	0	57.276	S6_S5
6.713	5.22	0.908	1.1	2.545	0.071	1.977	7.791	6.224	7.044	4.401	27.853	57.309	S6_S5
3.431	1.474	4.393	1.356	3.678	6.601	7.417	10.57	11.559	13.031	8.647	6.315	57.311	S6_S5
0.972	2.496	0.909	0.83	4.606	1.751	4.787	7.759	6.083	8.504	30.348	0	57.451	S6_S5
1.961	0.749	2.32	4.51	3.716	9.123	8.811	13.459	14.299	12.888	7.272	4.386	57.563	S6_S5
2.223	1.576	2.453	4.675	2.567	4.156	5.01	5.207	4.802	35.773	0	0	57.695	S6_S5
1.741	2.023	1.331	1.15	1.306	2.503	0.872	4.058	9.275	13.694	14.989	17.441	57.794	S6_S5
0.456	1.209	0.072	2.793	3.038	2.795	5.748	10.483	12.398	12.648	10.446	9.363	57.888	S6_S5
0.524	1.424	0.417	2.034	1.369	3.574	8.058	13.515	12.156	12.832	9.564	7.519	57.913	S6_S5
0.347	0.764	0.88	0.389	3.07	6.928	7.621	9.225	8.166	33.784	0	0	58.101	S6_S5
2.4	3.508	1.297	0.308	0.215	6.617	9.916	12.225	11.091	8.579	22.888	0	58.134	S6_S5
4.02	1.366	1.624	5.455	3.176	2.673	4.677	6.126	7.484	6.044	5.492	32.665	58.139	S6_S5
2.822	3.533	0.276	7.458	9.38	6.488	5.988	42.579	0	0	0	0	58.145	S6_S5
0.181	1.795	3.052	0.315	0.918	4.218	5.486	7.482	7.866	6.325	29.419	0	58.269	S6_S5
0.161	2.664	2.058	0.798	2.44	0.696	7.669	12.122	13.532	12.108	11.416	12.24	58.343	S6_S5
1.107	1.717	0.085	1.333	3.685	5.041	5.42	6.745	6.116	40.428	0	0	58.56	S6_S5
1.91	1.726	4.331	2.183	0.029	1.4	4.005	7.196	9.506	15.95	15.669	15.845	58.723	S6_S5
8.179	3.419	3.231	3.678	5.763	10.534	7.377	7.24	6.008	34.462	0	0	58.819	S6_S5
1.156	0.432	0.363	3.774	2.771	0.796	4.006	10.576	15.141	13.948	14.321	10.747	58.91	S6_S5
1.93	1.273	0.919	2.055	2.682	3.292	4.195	6.187	7.296	37.909	0	0	58.988	S6_S5
4.606	1.621	4.889	1.606	0.753	0.218	9.909	12.546	12.546	11.664	10.004	10.57	59.109	S6_S5
1.552	0.884	1.965	1.524	5.354	5.129	5.498	5.775	6.187	45.709	0	0	59.341	S6_S5
2.617	2.253	1.899	4.916	1.373	7.881	9.485	9.347	6.747	34.64	0	0	59.459	S6_S5
1.118	3.177	1.47	6.247	2.849	3.924	8.22	7.956	3.29	3.436	38.644	0	59.506	S6_S5
0.496	3.588	1.345	0.815	2.106	1.431	1.815	4.577	7.261	6.307	4.255	35.899	59.649	S6_S5
1.354	1.076	2.749	1.369	3.486	8.205	11.409	12.508	5.102	25.06	0	0	59.722	S6_S5
1.663	1.377	2.003	3.041	2.457	4.801	5.681	4.673	7.811	5.889	37.674	0	59.793	S6_S5
3.39	1.593	0.421	2.229	3.116	0.538	5.637	9.811	13.35	12.8	13.061	7.483	59.806	S6_S5
1.373	1.607	2.356	6.467	4.163	1.43	1.832	4.263	6.187	46.061	0	0	59.886	S6_S5
0.338	1.314	1.511	1.491	1.009	3.765	6.052	5.097	4.846	6.622	6.826	31.022	60.019	S6_S5
4.218	4.826	4.851	2.091	0.722	0.079	3.459	6.55	7.63	6.26	26.361	0	60.237	S6_S5
3.069	0.36	8.963	3.061	4.991	5.513	5.642	4.859	44.673	0	0	0	60.27	S6_S5
1.095	5.785	0.202	2.432	2.942	6.172	6.369	8.247	37.553	0	0	0	60.293	S6_S5
1.877	0.059	0.924	2.996	3.278	7.077	5.91	5.282	5.557	35.661	0	0	60.352	S6_S5
2.56	3.081	2.481	4.114	0.801	2.77	6.522	9.242	4.416	38.226	0	0	60.373	S6_S5
3.892	2.629	0.506	1.811	0.771	6.659	10.762	9.388	8.553	33.826	0	0	60.503	S6_S5
4.527	0.783	1.848	1.337	0.172	4.509	7.839	7.698	5.087	7.149	36.837	0	60.515	S6_S5
0.719	0.595	0.202	1.086	1.818	1.781	2.362	6.107	8.474	7.309	38.583	0	60.558	S6_S5
0.955	0.562	3.213	0.24	1.608	3.595	12.066	12.151	10.793	8.201	28.442	0	60.671	S6_S5
1.987	3.061	3.372	0.1	3.127	6.134	13.367	12.59	11.37	5.755	6.861	7.813	60.717	S6_S5
4.04	1.193	1.176	2.281	7.863	7.285	10.034	12.371	6.049	28.179	0	0	60.799	S6_S5
1.046	2.351	2.873	1.125	6.031	0.086	2.754	5.616	6.672	4.508	39.732	0	60.841	S6_S5
0.194	3.769	1.182	3.894	2.209	3.458	4.575	7.174	8.835	8.229	5.386	24.629	61.003	S6_S5
1.479	2.637	2.038	1.358	0.649	2.655	6.998	6.048	4.864	41.064	0	0	61.168	S6_S5
6.498	3.278	1.93	2.842	7.652	8.934	8.386	4.538	2.89	5.088	41.818	0	61.292	S6_S5
4.107	6.532	2.998	1.59	1.295	2.388	7.948	3.957	39.883	0	0	0	61.328	S6_S5
2.532	0.494	0.264	0.944	1.28	4.499	9.163	12.199	15.127	15.917	10.384	8.167	61.407	S6_S5
2.297	0.911	1.34	0.262	2.571	1.215	5.378	7.033	8.083	7.535	7.956	25.899	61.434	S6_S5
0.664	2.118	1.034	4.572	4.93	12.061	11.749	7.454	29.627	0	0	0	61.462	S6_S5
2.537	2.49	0.803	1.51	2.622	5.842	7.597	7.867	8.28	6.902	31.419	0	61.603	S6_S5
3.62	1.327	1.83	7.535	4.577	5.56	5.966	5.574	3.953	2.169	46.233	0	61.892	S6_S5
0.629	2.105	1.015	3.237	0.269	0.647	10.187	11.82	15.528	13.019	12.813	0	62.351	S6_S5
0.984	1.006	1.413	1.215	2.357	1.426	6.01	7.983	8.906	8.35	6.249	29.999	62.535	S6_S5
1.785	5.864	1.728	1.09	0.791	1.573	1.617	5.865	48.589	0	0	0	62.589	S6_S5
1.839	2.48	0.751	0.044	0.856	1.731	4.253	7.535	9.751	7.77	4.463	30.726	62.646	S6_S5
1.69	0.583	0.404	4.259	4.877	2.813	4.654	7.751	5.814	7.198	35.577	0	62.785	S6_S5
8.434	1.965	4.129	2.754	6.553	8.796	14.106	17.308	13.913	13.192	9.381	6.139	62.817	S6_S5
2.978	0.696	1.064	0.123	7.231	11.903	13.471	15.126	12.146	7.836	3.461	0	62.822	S6_S5
2.211	1.065	2.421	1.438	5.805	9.027	9.177	11.78	3.838	34.116	0	0	62.832	S6_S5
0.719	1.149	6.229	3.638	0.144	5.048	3.647	8.737	7.707	6.913	4.368	28.419	62.845	S6_S5
3.372	0.084	0.369	2.566	1.02	3.603	13.308	16.829	14.201	7.729	12.551	0	62.982	S6_S5
0.214	0.209	2.168	2.132	1.323	6.207	9.634	9.347	40.827	0	0	0	63.006	S6_S5
2.368	5.995	0.76	0.779	0.504	1.122	3.277	5.429	6.86	7.527	5.203	29.434	63.263	S6_S5
2.686	5.006	3.827	0.787	0.544	1.481	4.273	5.662	5.395	6.76	33.817	0	63.267	S6_S5
1.58	1.218	0.557	7.479	1.744	5.373	6.683	11.153	8.511	4.385	25.704	0	63.347	S6_S5
1.084	2.078	1.072	1.987	2.737	2.83	4.04	5.773	5.361	45.399	0	0	63.38	S6_S5
0.416	2.626	1.395	1.467	2.269	3.047	11.315	12.083	12.002	11.834	9.759	6.907	63.495	S6_S5
2.682	1.529	4.571	0.375	2.009	8.096	10.353	11.343	4.237	33.054	0	0	63.585	S6_S5
2.498	1.035	2.159	6.23	4.918	3.475	7.149	10.592	12.924	11.704	10.186	8.015	63.594	S6_S5
0.477	2.006	3.79	4.736	2.015	5.558	8.727	10.652	9.424	3.686	29.351	0	63.791	S6_S5
1.638	1.069	3.5	1.526	3.901	7.593	9.838	9.292	6.827	36.344	0	0	64.03	S6_S5
0.85	4.865	0.101	0.926	3.821	7.159	7.459	9.631	4.341	43.768	0	0	64.12	S6_S5
0.883	3.191	1.291	2.19	5.605	4.675	6.166	6.033	7.397	6.033	37.806	0	64.263	S6_S5
2.666	1.236	0.27	1.623	0.303	5.523	10.171	9.897	10.446	7.296	4.811	33.206	64.281	S6_S5
1.684	0.174	2.671	2.684	4.087	2.102	4.154	10.592	9.363	8.386	30.556	0	64.425	S6_S5
6.225	1.935	1.906	1.088	1.064	2.302	7.727	7.836	7.854	37.445	0	0	64.777	S6_S5
0.038	2.369	2.565	2.387	3.038	2.331	3.316	8.725	8.613	9.388	34.076	0	64.827	S6_S5
0.888	0.836	3.34	4.134	1.345	8.818	9.14	11.972	7.211	4.003	36.904	0	64.849	S6_S5
1.243	0.913	3.328	1.386	0.661	3.5	5.839	6.735	5.637	44.956	0	0	64.864	S6_S5
2.747	6.888	0.44	3.236	1.874	5.7	7.545	10.115	11.678	8.924	30.66	0	65.001	S6_S5
4.022	3.133	0.907	2.771	2.46	11.979	11.437	5.085	28.054	0	0	0	65.001	S6_S5
1.913	0.018	3.885	1.332	0.545	1.15	8.741	13.289	15.618	12.788	10.046	9.512	65.019	S6_S5
1.338	0.081	0.009	2.376	5.769	8.599	9.576	10.342	8.139	31.775	0	0	65.076	S6_S5
0.774	1.962	5.418	0.734	5.788	6.853	8.685	11.039	10.886	5.441	4.491	29.693	65.128	S6_S5
0.886	1.73	3.663	0.735	1.775	1.869	3.996	7.546	52	0	0	0	65.159	S6_S5
3.044	0.156	1.854	2.255	6.887	8.571	7.216	4.779	7.08	8.724	7.756	32.38	65.198	S6_S5
0.19	1.133	1.91	1.435	2.209	3.991	10.686	14.483	13.413	12.854	10.652	12.063	65.411	S6_S5
0.73	3.542	0.581	1.587	2.973	2.321	6.255	8.001	5.795	43.906	0	0	65.764	S6_S5
1.705	2.393	2.663	5.661	1.83	1.101	9.15	9.952	10.203	8.148	4.285	25.271	65.788	S6_S5
2.43	0.486	0.801	0.693	1.137	6.365	7.217	11.198	8.716	6.608	34.589	0	65.9	S6_S5
3.475	0.949	2.666	2.735	0.373	1.508	9.551	11.31	8.173	38.542	0	0	66.043	S6_S5
2.138	0.243	0.765	2.572	3.72	2.216	3.378	6.133	7.233	6.227	43.95	0	66.165	S6_S5
0.336	0.695	0.684	2.085	2.276	5.467	4.963	8.081	11.924	8.357	34.818	0	66.521	S6_S5
0.705	3.666	0.474	2.144	1.725	3.672	5.316	7.043	6.603	46.092	0	0	66.653	S6_S5
1.834	2.812	0.919	3.961	2.36	1.203	5.599	14.596	18.624	15.319	13.93	0	66.678	S6_S5
3.629	3.759	1.036	4.107	3.802	4.009	3.437	6.804	13.068	10.205	42.48	0	66.746	S6_S5
0.545	0.639	2.51	0.043	2.673	3.212	7.325	9.484	10.172	9.21	3.858	33.536	66.81	S6_S5
4.028	3.811	3.058	3.063	5.359	10.035	11.017	11.549	7.708	3.584	35.465	0	66.811	S6_S5
3.108	0.931	1.456	1.21	0.145	3.282	6.611	8.938	11.508	11.234	9.092	32.202	67.048	S6_S5
1.643	1.289	0.639	0.45	0.843	3.903	4.621	8.054	8.877	7.099	42.281	0	67.113	S6_S5
1.236	0.516	1.378	2.943	0.346	4.089	6.553	5.593	10.654	6.041	44.078	0	67.124	S6_S5
0.887	0.042	0.692	4.849	1.13	4.26	8.476	10.278	7.808	6.418	31.239	0	67.973	S6_S5
1.01	0.03	1.037	2.533	3.412	3.541	4.931	7.854	6.76	6.129	43.525	0	68.174	S6_S5
1.963	0.828	2.373	0.582	1.59	5.989	8.804	9.039	9.679	7.382	38.715	0	68.184	S6_S5
3.201	2.185	4.377	0.447	4.878	8.466	10.478	13.279	11.172	8.694	29.813	0	68.232	S6_S5
0.489	4.716	0.3	5.713	4.414	3.307	6.774	8.879	9.063	8.059	5.493	29.61	68.385	S6_S5
2.688	1.988	0.527	0.164	3.288	2.028	3.607	12.183	15.562	15.972	12.425	8.874	68.482	S6_S5
2.555	1.671	2.33	4.445	1.358	1.886	7.339	6.987	6.164	3.177	44.796	0	68.486	S6_S5
4.599	0.648	0.082	0.764	1.139	3.431	4.939	4.726	9.656	6.758	6.764	42.085	68.837	S6_S5
2.12	0.189	0.424	1.087	1.8	3.099	4.356	8.183	8.822	8.545	43.412	0	69.215	S6_S5
3.013	1.594	4.01	2.07	5.255	6.75	4.515	7.964	4.293	8.041	45.518	0	69.225	S6_S5
0.779	1.201	2.178	2.016	1.581	3.515	6.136	7.079	9.412	9.688	4.844	45.122	69.244	S6_S5
2.607	0.51	6.101	1.899	3.768	3.963	5.674	9.493	7.698	4.407	7.423	44.584	69.462	S6_S5
3.789	0.855	0.325	0.144	3.271	1.365	5.949	10.214	14.217	17.001	13.618	12.227	69.518	S6_S5
0.108	2.592	0.848	2.453	1.8	1.198	3.156	8.092	9.5	6.801	3.528	39.617	69.532	S6_S5
0.89	1.411	3.846	0.266	4.268	0.153	1.831	8.03	13.452	15.318	17.457	17.87	69.628	S6_S5
3.543	6.358	7.194	2.132	0.433	0.451	0.881	5.36	3.842	4.037	40.53	0	69.67	S6_S5
2.054	2.049	1.39	0.053	5.029	0.958	5.106	9.966	9.833	7.781	37.849	0	69.745	S6_S5
3.742	0.489	1.854	1.139	2.58	3.91	7.101	8.696	8.747	8.317	33.732	0	70.024	S6_S5
0.68	1.818	2.106	1.086	1.177	3.422	9.034	9.932	11.042	8.832	6.346	33.382	70.262	S6_S5
1.063	3.828	2.38	0.592	0.238	6.587	8.404	11.198	8.265	39.226	0	0	70.464	S6_S5
5.536	0.817	1.931	0.275	1.081	5.759	12.556	14.297	11.272	7.865	30.437	0	70.688	S6_S5
0.165	0.865	0.224	3.887	0.991	3.241	8.228	8.166	10.758	10.628	8.148	28.006	70.746	S6_S5
0.274	3.605	4.234	4.373	0.528	5.251	11.245	9.487	8.941	6.475	33.309	0	70.825	S6_S5
0.808	1.334	3.428	1.513	3.813	6.837	5.889	8.747	10.652	11.741	6.44	31.975	70.931	S6_S5
1.2	9.325	0.711	2.63	3.017	1.701	7.09	6.352	5.503	41.377	0	0	71.028	S6_S5
2.5	3.738	0.051	1.628	1.814	6.899	9.045	7.945	6.303	3.838	38.315	0	71.09	S6_S5
3.558	1.186	1.607	6.447	5.549	10.275	13.078	13.605	8.445	5.986	31.213	0	71.445	S6_S5
1.533	2.241	1.183	0.798	0.964	4.816	5.938	8.873	8.911	8.557	6.003	30.275	71.488	S6_S5
2.553	0.739	5.173	0.696	7.651	7.424	8.255	12.334	10.979	7.671	3.761	31.525	71.755	S6_S5
1.096	3.237	2.137	5.048	3.072	10.288	10.864	13.868	8.092	6.991	30.77	0	71.836	S6_S5
2.074	1.974	2.229	1.137	8.225	12.019	12.761	12.338	5.702	36.455	0	0	71.982	S6_S5
3.015	1.684	0.769	2.373	2.899	1.15	3.289	5.655	9.936	12.103	11.301	36.151	72.034	S6_S5
1.564	5	1.999	0.509	2.577	2.47	6.554	10.758	12.05	8.497	34.309	0	72.08	S6_S5
2.31	3.905	1.098	1.463	1.688	1.944	9.055	11.821	8.806	3.734	30.035	0	72.213	S6_S5
2.18	2.788	0.676	1.186	1.863	2.458	6.93	12.406	12.551	10.097	5.909	26.031	72.305	S6_S5
3.439	4.643	6.225	4.32	5.698	8.625	10.497	7.068	43.136	0	0	0	72.317	S6_S5
6.196	0.801	5.727	1.904	8.748	7.564	8.647	5.213	6.461	47.765	0	0	72.548	S6_S5
1.512	0.845	0.08	1.077	2.04	0.068	5.658	8.269	9.229	9.859	9.342	36.671	72.745	S6_S5
1.902	2.599	0.693	3.031	1.022	2.927	7.358	9.054	7.834	7.827	4.796	34.827	72.996	S6_S5
0.48	1.723	4.154	3.203	3.623	7.465	7.94	9.016	5.27	2.207	40.36	0	73.104	S6_S5
1.372	5.193	3.727	0.433	0.249	3.007	10.184	11.643	9.589	4.802	36.528	0	73.281	S6_S5
5.745	4.067	0.851	2.06	8.271	4.764	8.572	8.84	8.842	6.196	46.59	0	73.593	S6_S5
0.573	3.11	5.485	0.564	2.49	7.085	12.208	15.485	10.419	5.207	40.277	0	73.651	S6_S5
1.572	0.523	1.036	1.198	1.642	5.944	7.635	10.813	12.378	11	9.081	30.036	74.051	S6_S5
0.056	5.684	2.085	0.446	0.533	1.419	11.413	12.919	12.463	11.902	30.451	0	74.137	S6_S5
0.158	5.253	2.666	3.87	6.39	8.256	10.872	10.788	6.963	36.349	0	0	74.338	S6_S5
0.792	2.586	1.142	4.909	2.743	6.376	11.298	12.987	11.741	6.417	25.893	0	74.437	S6_S5
3.384	1.351	5.074	3.405	1.25	5.905	9.572	9.266	9.64	6.982	37.279	0	74.592	S6_S5
0.931	3.057	10.341	2.069	2.88	4.938	6.069	9.388	10.072	8.414	4.965	36.825	74.905	S6_S5
4.554	1.084	3.099	0.046	3.91	8.596	9.461	8.418	11.726	8.555	2.772	34.07	74.906	S6_S5
2.003	1.02	1.925	1.146	0.161	5.505	6.9	9.727	7.261	8.768	46.849	0	74.907	S6_S5
0.943	0.599	1.882	1.677	1.981	1.818	5.664	5.472	10.911	8.348	7.789	42.971	75.353	S6_S5
7.92	4.864	0.634	2.963	2.563	7.138	12.818	11.389	10.458	7.715	40.507	0	75.402	S6_S5
4.934	0.505	0.191	2.892	8.377	9.217	10.307	9.757	11.277	39.045	0	0	75.442	S6_S5
1.46	1.889	2.891	0.19	0.47	1.67	4.067	10.266	13.195	13.195	9.656	38.614	75.468	S6_S5
1.248	2.796	1.351	4.15	3.81	9.031	14.707	9.218	6.049	38.487	0	0	75.48	S6_S5
1.195	0.79	1.531	0.964	2.392	4.849	3.269	9.059	10.446	8.247	6.187	37.143	75.61	S6_S5
3.14	3.511	0.598	5.245	5.255	9.24	12.205	10.157	7.254	7.21	38.51	0	75.752	S6_S5
3.711	3.297	1.753	1.764	2.728	8.943	13.701	10.706	8.086	44.412	0	0	76.17	S6_S5
0.424	1.693	2.332	2.473	2.095	0.167	8.83	11.412	10.038	10.038	46.762	0	76.457	S6_S5
4.124	3.745	0.932	4.455	5.838	4.089	2.21	7.624	9.403	9.391	7.216	47.756	76.607	S6_S5
1.54	0.685	0.854	1.477	0.208	3.569	7.404	6.338	13.424	11.506	10.835	35.104	77.442	S6_S5
1.033	8.543	0.033	1.394	1.984	3.699	4.971	10.164	7.872	8.913	5.481	30.137	77.471	S6_S5
2.534	0.136	1.563	2.396	1.542	8.598	13.873	15.755	13.699	8.639	30.965	0	77.564	S6_S5
3.664	6.159	1.771	0.43	1.524	9.028	11.263	10.138	5.618	36.865	0	0	78.341	S6_S5
0.696	0.349	1.173	0.523	1.655	4.83	9.059	9.835	8.453	7.058	49.108	0	78.568	S6_S5
3.533	5.663	3.799	4.759	0.983	6.466	11.457	14.794	15.635	10.483	36.622	0	78.854	S6_S5
2.598	2.557	5.394	0.215	1.537	9.412	12.006	11.599	6.488	44.153	0	0	80.826	S6_S5
5.991	1.331	1.883	4.307	4.885	7.356	8.001	11.267	8.543	8.543	4.763	45.173	81.345	S6_S5
2.266	6.95	2.825	0.965	1.421	0.93	1.76	6.253	11.132	11.05	9.252	35.184	81.415	S6_S5
1.119	0.84	1.925	2.569	4.19	4.195	2.649	9.178	9.592	8.086	4.938	46.874	81.573	S6_S5
3.339	0.391	0.097	5.918	7.599	11.731	11.616	12.834	11.469	6.207	31.25	0	82.36	S6_S5
4.815	0.578	0.715	1.208	7.321	6.112	10.374	12.316	7.315	7.509	41.627	0	83.706	S6_S5
3.413	0.702	1.945	2.433	3.321	9.533	12.935	15.982	12.987	9.989	34.571	0	84.167	S6_S5
1.894	3.831	1.412	4.07	1.176	8.772	14.944	13.015	9.451	52.519	0	0	93.836	S6_S5
